Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_327:0000147,DS_Est_JDay,,Trials and nurseries,Seedling stage,Recommended,,ICRISAT-Niger,C Tom Hash,16-Dec-12,EN,Pearl millet,CO_327:0000000,Date of sowing,Phenological,Date when seeds are sown on the soil,,DS,,Plant,Date of sowing,Recommended,,CO_327:0000001,Date of sowing - Method,Estimation,Record the sowing date,,,CO_327:0000002,Julian Days,Date,,,,,,,,,,,,,,
,CO_327:0000148,DEm_Est_JDay,,Trials and nurseries,Seedling stage,Recommended,,ICRISAT-Niger,C Tom Hash,16-Dec-12,EN,Pearl millet,CO_327:0000003,Date of emergence,Phenological,Date when seedlings emerge from the soil,,DEm,,Plant,Date of emergence,Recommended,,CO_327:0000004,Date of emergence - Method,Estimation,Record the emergence date,,,CO_327:0000005,Julian Days,Date,,,,,,,,,,,,,,
,CO_327:0000149,DHd_Est_JDay,D50Hd,Trials and nurseries,Flowering stage,Recommended,,ICRISAT-Niger,C Tom Hash,16-Dec-12,EN,Pearl millet,CO_327:0000006,Date of heading,Phenological,Date when the first panicles emerges from the boot leaf sheath of the plant,,DHd,,Plant,Date of heading,Recommended,,CO_327:0000007,Date of 50% heading - Method,Estimation,Record the date when 50% of the plants of the plot begin to bring out their first inflorescence,,,CO_327:0000008,Julian Days,Date,,,,,,,,,,,,,,
,CO_327:0000150,DBl_Est_JDay,D50Bl,Trials and nurseries,Flowering stage,Recommended,,ICRISAT-Niger,C Tom Hash,16-Dec-12,EN,Pearl millet,CO_327:0000009,Date of bloom,Phenological,Date when 50% of the stigma emerges on first panicle of the plant,,DBl,,Plant,Date of bloom,Recommended,,CO_327:0000010,Date of 50% bloom - Method,Estimation,Record the date when 50% of the plants reach 50% stigma emergence of their first panicle,,,CO_327:0000011,Julian Days,Date,,,,,,,,,,,,,,
,CO_327:0000151,DAn_Est_JDay,D50An,Trials and nurseries,Flowering stage,Recommended,,ICRISAT-Niger,C Tom Hash,16-Dec-12,EN,Pearl millet,CO_327:0000012,Date of anthesis,Phenological,Date when the plant is at 50% anther emergence on first panicle,,DAn,,Plant,Date of anthesis,Recommended,,CO_327:0000013,Date of 50% anthesis - Method,Estimation,Record the date when 50% of the plants reach 50% anther emergence of their first panicle,,,CO_327:0000014,Julian Days,Date,,,,,,,,,,,,,,
,CO_327:0000152,DPhysMat_Est_JDay,,Trials and nurseries,Maturity,Recommended,,ICRISAT-Niger,C Tom Hash,16-Dec-12,EN,Pearl millet,CO_327:0000015,Date of physiological maturity,Phenological,Date when grain dry weight increase ceases,,DPhysMat,,Plant,Date of physiological maturity,Recommended,,CO_327:0000016,Date of physiological maturity - Method,Estimation,Record the date of onset of black spot formation at the base of the grain on a sample of panicles. The recommended sample size is 10 panicles,,,CO_327:0000017,Julian Days,Date,,,,,,,,,,,,,,
,CO_327:0000153,DHar_Est_JDay,,Trials and nurseries,Maturity,,,ICRISAT-Niger,C Tom Hash,16-Dec-12,EN,Pearl millet,CO_327:0000018,Date of harvest,Phenological,Date when plot harvested,,DHar,,Plant,Date of harvest,,,CO_327:0000019,Date of harvest - Method,Estimation,Record the harvest date,,,CO_327:0000020,Julian Days,Date,,,,,,,,,,,,,,
,CO_327:0000154,NSH_Count_H,,Trials and nurseries,Seedling stage,Obsolete,,ICRISAT-Niger,C Tom Hash,16-Dec-12,EN,Pearl millet,CO_327:0000021,Number of seedling hills,Agronomic,Number of hills with plants at seedling stage,,NSH,,Hill,Number,Obsolete,,CO_327:0000022,Number of seedling hills - Method,Counting,Count the number of planting holes with plants 5-10 days after emergence,,,CO_327:0000023,Hill,Numerical,,,,,,,,,,,,,,
,CO_327:0000155,NSPlt_CountThin_PltPlot,,Trials and nurseries,Seedling stage,Obsolete,,ICRISAT-Niger,C Tom Hash,16-Dec-12,EN,Pearl millet,CO_327:0000024,Number of seedling plants,Agronomic,Number of total plants after thinning,,NSPlt,,Seedling,Number,Obsolete,,CO_327:0000025,Number of seedlings - Method,Counting,Count the total number of plants in the plot after thinning,,,CO_327:0000026,Plant/plot,Numerical,,,,,,,,,,,,,,
,CO_327:0000156,SVig_Est_1to5,,Trials and nurseries,Seedling stage,Recommended,,ICRISAT-Niger,C Tom Hash,16-Dec-12,EN,Pearl millet,CO_327:0000027,Seedling vigor,Morphological,Biomass of the plants in the plot at 15 days after sowing,,SVig,,Seedling,Biomass,Recommended,,CO_327:0000028,Seedling vigor - Method,Estimation,"Comparative visual observation of the biomass of plants (length, width, number of leaves) 15 days after sowing. The maximum score is given to the plot that has plants with maximum biomass. The lowest score is assigned to the plot with the minimum biomass. Plots with biomass between these two extremes will be included notes between the two extreme scores.",,"House, L.R. 1987. A guide to sorghum breeding. Second edition. Patancheru, AP 502 324, India: International Crops Research Institute for the Semi-Arid Tropics.",CO_327:0000029,Vigor scale,Ordinal,,,,,1= Very Bad Vigor,2 = Bad Vigor,3 = Acceptable vigor,4 = Good Vigor,5 = Excellent Vigor,,,,,
